"species","period","year","shapiro","wilcox","lm","slope_eq1","adj_r_squared"
"coho","sixty_minute",2016,0.3197,NA,0,0.6236,0.7892
"coho","sixty_minute",2017,0,0.1188,0.0001,NA,NA
"coho","sixty_minute",2018,0,0.9443,0.1963,NA,NA
"sockeye","sixty_minute",2016,0.6817,NA,0.1398,0.0149,0.0553
"sockeye","sixty_minute",2017,0.0555,NA,0.1838,0.0001,0.031
"sockeye","sixty_minute",2018,0.0114,0.0483,0,NA,NA
"total","sixty_minute",2016,0.1746,NA,0.0182,0.0004,0.1932
"total","sixty_minute",2017,0.0006,0,0,NA,NA
"total","sixty_minute",2018,0.0016,0.0104,0,NA,NA
